customer_id_original;full_name;city;state;zipcode;rfm_id;created_at;updated_at
1;Richard Hernandez;Brownsville;TX;78521;3;01/04/2025 13:40;02/04/2025 13:40
2;Mary Barrett;Littleton;CO;80126;3;11/02/2026 14:24;24/02/2026 14:24
3;Ann Smith;Caguas;PR;725;1;25/05/2025 4:44;08/06/2025 4:44
4;Mary Jones;San Marcos;CA;92069;3;27/02/2025 21:28;03/03/2025 21:28
5;Robert Hudson;Caguas;PR;725;1;03/03/2026 5:17;18/03/2026 5:17
6;Mary Smith;Passaic;NJ;7055;4;03/02/2025 8:10;05/02/2025 8:10
7;Melissa Wilcox;Caguas;PR;725;2;14/02/2026 1:19;27/02/2026 1:19
8;Megan Smith;Lawrence;MA;1841;5;20/06/2025 13:30;22/06/2025 13:30
9;Mary Perez;Caguas;PR;725;5;11/10/2025 20:49;26/10/2025 20:49
10;Melissa Smith;Stafford;VA;22554;2;30/12/2025 16:38;14/01/2026 16:38
11;Mary Huffman;Caguas;PR;725;6;29/03/2026 19:04;16/04/2026 19:04
12;Christopher Smith;San Antonio;TX;78227;5;24/04/2025 11:45;13/05/2025 11:45
13;Mary Baldwin;Caguas;PR;725;4;29/04/2025 13:00;16/05/2025 13:00
14;Katherine Smith;Pico Rivera;CA;90660;5;15/02/2025 22:09;27/02/2025 22:09
15;Jane Luna;Fontana;CA;92336;4;14/12/2025 7:51;19/12/2025 7:51
16;Tiffany Smith;Caguas;PR;725;3;12/07/2025 20:25;14/07/2025 20:25
17;Mary Robinson;Taylor;MI;48180;3;06/12/2025 10:03;07/12/2025 10:03
18;Robert Smith;Martinez;CA;94553;5;26/10/2025 22:49;15/11/2025 22:49
19;Stephanie Mitchell;Caguas;PR;725;5;19/03/2025 6:16;21/03/2025 6:16
20;Mary Ellis;West New York;NJ;7093;4;09/04/2025 9:24;10/04/2025 9:24
21;William Zimmerman;Caguas;PR;725;3;29/09/2025 14:34;13/10/2025 14:34
22;Joseph Smith;North Bergen;NJ;7047;3;05/09/2025 18:04;06/09/2025 18:04
23;Benjamin Duarte;San Juan;PR;921;2;21/03/2026 0:50;22/03/2026 0:50
24;Mary Smith;Caguas;PR;725;4;24/05/2025 16:59;27/05/2025 16:59
25;Paul Richardson;Peoria;AZ;85345;6;17/10/2025 14:18;31/10/2025 14:18
26;Johnny Hood;Glenview;IL;60025;3;08/01/2026 20:25;18/01/2026 20:25
27;Mary Vincent;Caguas;PR;725;3;19/05/2025 12:06;20/05/2025 12:06
28;Timothy Smith;Longview;WA;98632;4;22/09/2025 3:43;22/09/2025 3:43
29;Mary Humphrey;Fort Worth;TX;76133;3;28/10/2025 15:46;31/10/2025 15:46
30;Barbara Smith;Caguas;PR;725;5;09/01/2025 12:48;29/01/2025 12:48
31;Mary Byrd;Albuquerque;NM;87111;2;14/03/2025 13:33;03/04/2025 13:33
32;Alice Smith;Caguas;PR;725;1;12/11/2025 18:13;28/11/2025 18:13
33;Adam Petersen;Norfolk;VA;23503;6;22/03/2026 18:08;02/04/2026 18:08
34;Mary Smith;Caguas;PR;725;6;14/09/2025 7:06;25/09/2025 7:06
35;Margaret Wright;Oceanside;CA;92056;4;07/02/2025 22:53;19/02/2025 22:53
36;Michelle Carey;Caguas;PR;725;5;22/09/2025 21:17;02/10/2025 21:17
37;Virginia Conrad;Norfolk;VA;23503;6;01/10/2025 19:14;18/10/2025 19:14
38;Mary Smith;Opelousas;LA;70570;4;08/10/2025 10:45;23/10/2025 10:45
39;Juan Mckinney;Caguas;PR;725;5;08/06/2025 11:51;17/06/2025 11:51
40;Mary Smith;Long Beach;CA;90805;5;01/01/2026 10:47;03/01/2026 10:47
41;Victoria Mason;Brooklyn;NY;11230;4;21/10/2025 4:38;28/10/2025 4:38
42;Ethan Smith;Duluth;GA;30096;6;13/06/2025 9:53;29/06/2025 9:53
43;Mary Herring;Caguas;PR;725;1;11/03/2025 11:22;27/03/2025 11:22
44;Howard Smith;Napa;CA;94558;2;02/02/2025 18:27;06/02/2025 18:27
45;Mary Nunez;Denver;CO;80231;1;02/01/2025 23:09;08/01/2025 23:09
46;Jennifer Smith;Freeport;NY;11520;3;16/03/2026 12:50;28/03/2026 12:50
47;Lori Fuller;Caguas;PR;725;1;07/06/2025 9:05;09/06/2025 9:05
48;Mary Cowan;Strongsville;OH;44136;6;20/02/2026 10:42;08/03/2026 10:42
49;Martha Smith;Caguas;PR;725;2;05/10/2025 22:57;24/10/2025 22:57
50;Mary Kim;San Bernardino;CA;92410;1;04/02/2025 0:17;19/02/2025 0:17
51;Jessica Smith;Caguas;PR;725;6;01/01/2026 23:27;02/01/2026 23:27
52;Mary Lawson;Chicago;IL;60622;2;29/10/2025 7:37;31/10/2025 7:37
53;Katherine Smith;Roswell;GA;30075;2;19/02/2025 18:11;03/03/2025 18:11
54;Mary Olson;Caguas;PR;725;5;08/06/2025 3:28;13/06/2025 3:28
55;Janet Farley;Phoenix;AZ;85029;5;25/05/2025 1:31;31/05/2025 1:31
56;Mary Kaiser;Caguas;PR;725;1;04/12/2025 2:21;24/12/2025 2:21
57;Mary Smith;Baltimore;MD;21229;4;22/10/2025 3:44;01/11/2025 3:44
58;Michael Edwards;Caguas;PR;725;3;07/06/2025 4:38;21/06/2025 4:38
59;Douglas James;Sunnyvale;CA;94086;6;31/08/2025 14:14;16/09/2025 14:14
60;Mary Gutierrez;Webster;NY;14580;2;03/11/2025 10:25;23/11/2025 10:25
61;Margaret Summers;Caguas;PR;725;6;26/01/2025 20:02;05/02/2025 20:02
62;Mary Oneal;Brooklyn;NY;11223;1;25/04/2025 18:22;08/05/2025 18:22
63;Aaron Smith;Caguas;PR;725;4;03/10/2025 3:14;03/10/2025 3:14
64;Mary Reynolds;Chicago;IL;60647;2;08/11/2025 5:13;19/11/2025 5:13
65;Jennifer Smith;Princeton;NJ;8540;5;18/03/2026 8:52;26/03/2026 8:52
66;Mary Booth;Caguas;PR;725;3;14/11/2025 9:01;29/11/2025 9:01
67;Samantha Smith;Chicago;IL;60619;5;02/03/2025 9:00;11/03/2025 9:00
68;Mary Oneal;Peoria;AZ;85345;1;27/09/2025 6:45;10/10/2025 6:45
69;Megan Smith;Caguas;PR;725;5;01/09/2025 9:46;05/09/2025 9:46
70;Mary Simmons;Los Angeles;CA;90042;2;18/05/2025 20:52;27/05/2025 20:52
71;Charles Smith;Philadelphia;PA;19145;1;22/03/2026 19:48;28/03/2026 19:48
72;Frank Gillespie;Vista;CA;92084;6;08/10/2025 1:52;21/10/2025 1:52
73;Mary Smith;Caguas;PR;725;2;16/01/2025 17:07;25/01/2025 17:07
74;Alice Rush;Jacksonville;NC;28540;4;14/10/2025 2:40;23/10/2025 2:40
75;Mary Smith;Caguas;PR;725;4;20/07/2025 14:06;02/08/2025 14:06
76;Joseph Young;Los Angeles;CA;90016;1;30/05/2025 9:15;17/06/2025 9:15
77;Shirley Dalton;Caguas;PR;725;2;25/03/2025 23:37;10/04/2025 23:37
78;Jeremy Smith;Parkville;MD;21234;4;23/12/2025 6:50;25/12/2025 6:50
79;Mary Watkins;Knoxville;TN;37922;2;13/01/2026 5:48;19/01/2026 5:48
80;Joe Parsons;Caguas;PR;725;4;31/03/2025 13:32;31/03/2025 13:32
81;Mary Smith;Ithaca;NY;14850;5;23/01/2025 10:59;11/02/2025 10:59
82;Jonathan Cook;San Antonio;TX;78240;6;17/08/2025 13:32;30/08/2025 13:32
83;Mary Wong;Caguas;PR;725;6;05/11/2025 19:13;08/11/2025 19:13
84;Douglas Smith;Tampa;FL;33624;2;03/02/2025 18:42;04/02/2025 18:42
85;Mary Perez;Caguas;PR;725;5;30/03/2026 4:42;02/04/2026 4:42
86;John Smith;Fort Worth;TX;76106;6;19/10/2025 14:45;25/10/2025 14:45
87;Gloria Brown;Caguas;PR;725;5;05/02/2025 22:04;09/02/2025 22:04
88;Mary Henry;Atlanta;GA;30318;3;28/11/2025 18:47;03/12/2025 18:47
89;Sean Smith;Escondido;CA;92027;5;17/10/2025 6:06;29/10/2025 6:06
90;Mary Hurley;Caguas;PR;725;1;10/03/2026 15:40;17/03/2026 15:40
91;Ashley Smith;Spring;TX;77379;2;10/06/2025 18:59;29/06/2025 18:59
92;Alexander Medina;Caguas;PR;725;6;14/11/2025 12:52;03/12/2025 12:52
93;Mary Robbins;Annapolis;MD;21401;6;25/01/2025 9:54;12/02/2025 9:54
94;Mary Smith;Caguas;PR;725;5;06/07/2025 22:41;15/07/2025 22:41
95;Susan Williams;Hyattsville;MD;20783;5;20/02/2026 9:33;01/03/2026 9:33
